name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,us_local_price,big_mac_ex,over_under_value
South Africa,ZAF,ZAR,13.95,7.56,2964.03,25499.54,2003-04-01,2.46,5.670731707317073,-0.2499032133178474
Argentina,ARG,ARS,4.36,2.95,2997.62,9315.73,2004-05-01,2.47,1.7651821862348178,-0.4016331572085364
Australia,AUS,AUD,3.25,1.43,21692.2,39884.18,2004-05-01,2.47,1.3157894736842104,-0.07986750092013255
Brazil,BRA,BRL,5.4,3.18,2926.34,8545.94,2004-05-01,2.47,2.186234817813765,-0.312504774272401
Canada,CAN,CAD,3.19,1.37,24279.19,38126.65,2004-05-01,2.47,1.2914979757085019,-0.057300747658027895
Switzerland,CHE,CHF,6.3,1.29,42658.5,66487.86,2004-05-01,2.47,2.5506072874493926,0.977214951511157
Chile,CHL,CLP,1400.0,641.0,4479.77,3086278.66,2004-05-01,2.47,566.8016194331983,-0.11575410384836457
China,CHN,CNY,10.4,8.28,1141.14,9445.22,2004-05-01,2.47,4.2105263157894735,-0.49148232901093314
Colombia,COL,COP,6500.0,2769.83,2424.35,6072220.82,2004-05-01,2.47,2631.578947368421,-0.04991319056822228
Costa Rica,CRI,CRC,1130.0,433.55,4122.83,1483031.33,2004-05-01,2.47,457.4898785425101,0.055218264427424946
Czech Republic,CZE,CZK,56.42,26.5,8056.32,263791.2,2004-05-01,2.47,22.842105263157894,-0.1380337636544191
Denmark,DNK,DKK,27.75,6.22,33275.56,262701.01,2004-05-01,2.47,11.234817813765181,0.8062408060715726
Egypt,EGY,EGP,10.0,6.19,1355.28,5982.04,2004-05-01,2.47,4.048582995951417,-0.34594781971705707
Euro area,EUZ,EUR,2.74,0.833333333,23236.5855737146,24591.4180449846,2004-05-01,2.47,1.1093117408906883,0.3311740896012956
Britain,GBR,GBP,1.88,0.558659218,30129.42,20070.66,2004-05-01,2.47,0.7611336032388663,0.3624291494978363
Hong Kong,HKG,HKD,12.0,7.79,24731.08,192890.07,2004-05-01,2.47,4.8582995951417,-0.37634151538617455
Hungary,HUN,HUF,530.0,211.0,6644.61,1713401.38,2004-05-01,2.47,214.5748987854251,0.01694264827215683
Indonesia,IDN,IDR,16100.0,9120.0,1002.91,9338261.5,2004-05-01,2.47,6518.218623481781,-0.2852830456708574
Japan,JPN,JPY,262.0,113.0,32832.3,4116776.51,2004-05-01,2.47,106.07287449392712,-0.06130199562896357
